NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2015],
Jurema,2608404,juremense,AGNALDO JOS� IN�CIO DOS SANTOS,148.254,15323,98.08,96,0.509,25.77,40802,48972,5959.76,
Lagoa do Carro,2608453,lagoense do carro,JUDITE MARIA BOTAFOGO SANTANA DA SILVA,69.666,17886,229.77,97.8,0.609,12.66,40620,44392,9278.94,
Lagoa de Itaenga,2608503,itaenguense,MARIA DAS GRA�AS DE ARRUDA SIVA,57.282,21397,360.65,98.9,0.602,20.25,45404,48113,12383.22,
Lagoa do Ouro,2608602,lagoa-do-ourense,MARQUIDOVES VIEIRA MARQUES,198.762,13065,61.04,96.5,0.525,25.16,39831,37977,7283.37,
Lagoa dos Gatos,2608701,lagoense,EDMILSON MORAIS PEREIRA,224.947,16262,70.06,96.5,0.551,10.47,33538,31807,5736.98,
Lagoa Grande,2608750,lagoa-grandense,VILMAR CAPPELLARO,1850.103,25349,12.31,96.3,0.597,18.47,61704,52163,10292.24,
Lajedo,2608800,lajedense,ROSSINE BLESMANY DOS SANTOS CORDEIRO,189.096,39982,193.70,97.9,0.611,15.58,90653,84315,9302.39,
Limoeiro,2608909,limoeirense,JO�O LU�S FERREIRA FILHO,273.739,56302,202.53,98,0.663,3.7,106699,146092,10780.03,
Macaparana,2609006,macaparanense,MAVIAEL FRANCISCO DE MORAIS CAVALCANTI,108.049,25278,221.43,97.9,0.609,10.34,53982,55143,8875.81,
Machados,2609105,machadense,ARGEMIRO CAVALCANTI PIMENTEL,60.036,15851,226.46,82.9,0.578,5.29,35036,33553,6546.07,
Manari,2609154,manariense,GILVAN DE ALBUQUERQUE ARAUJO,344.725,21085,47.56,93.4,0.487,21.01,47410,46374,4988.35,
Maraial,2609204,maraialense,MARCOS ANTONIO DE MOURA E SILVA,199.867,11473,61.19,94.1,0.534,4.33,39732,31598,6015.93,
Mirandiba,2609303,mirandibense,ROSE CL�A MAXIMO DE CARVALHO S�,821.676,15308,17.41,95.8,0.591,16.81,36929,35417,8428.62,
Moreno,2609402,morenense,EDVALDO RUFINO DE MELO E SILVA,196.072,62263,289.16,95.8,0.652,12,107822,97887,9202.06,
Nazaré da Mata,2609501,nazareno,INACIO MANOEL DO NASCIMENTO,130.572,32366,204.95,96.1,0.662,18.67,54902,57722,13030.50,
Olinda,2609600,olindense,LUPERCIO CARLOS DO NASCIMENTO,41.681,391835,9063.58,96.9,0.735,12.07,627292,564478,13515.06,
Orobó,2609709,orobense,CLEBER JOS� DE AGUIAR DA SILVA,138.662,23833,164.99,97.2,0.610,10,58680,54182,10454.12,
Orocó,2609808,orocoense,GEORGE GUEBER CAVALCANTE NERY,554.759,14827,23.76,98,0.610,16.56,41517,37866,10728.62,
Ouricuri,2609907,ouricuriense,FRANCISCO RICARDO SOARES RAMOS,2381.578,68939,26.56,92.4,0.572,17.11,121124,135072,7407.32,
Palmares,2610004,palmarense,ALTAIR BEZERRA DA SILVA JUNIOR,339.291,62994,175.44,96.3,0.622,4.56,129657,135060,12577.36,
Palmeirina,2610103,palmeirinense,MARCELO NEVES DE LIMA,168.797,7789,51.82,94,0.549,18.18,23737,26810,7954.85,
Panelas,2610202,panelense,JOELMA DUARTE DE CAMPOS,380.428,26492,69.14,98.6,0.569,20.65,82808,71270,6023.16,
Paranatama,2610301,paranatamense,JOS� VALMIR PIMENTEL DE GOIS,185.372,11478,47.65,97.9,0.537,10,38049,36512,9122.80,
Parnamirim,2610400,parnamirinense,T�CIO CARVALHO SAMPAIO PONTES,2621.433,21914,7.79,97,0.599,16.89,49860,46506,7155.22,
Passira,2610509,passirense,R�NYA CARLA MEDEIROS DA SILVA,326.757,28972,87.61,95.9,0.592,9.73,60397,63870,6375.52,
Paudalho,2610608,paudalhense,MARCELLO FUCHS CAMPOS GOUVEIA,274.776,56074,185.06,96.7,0.639,12.04,99430,90580,12239.71,
Paulista,2610707,paulistano,GILBERTO GON�ALVES FEITOSA J�NIOR,97.312,329117,3087.66,97.9,0.732,14.42,501021,457524,12362.83,
Pedra,2610806,pedrense,JOS� OSORIO GALV�O DE OLIVEIRA FILHO,921.477,22566,26.08,92,0.567,17.24,48119,48181,9283.39,
Pesqueira,2610905,pesqueirense,MARIA JOSE CASTRO TENORIO,980.875,67047,63.21,97.4,0.610,15.89,117502,107174,9526.85,
Petrolândia,2611002,petrolandense,RICARDO RODOLFO SOUZA LEAL,1056.595,36187,30.75,96,0.623,15.92,80548,77134,24153.53,
Petrolina,2611101,petrolinense,MIGUEL DE SOUZA LEAO COELHO,4561.874,343865,64.44,97,0.697,15.43,669779,587773,16670.83,
Poção,2611200,po��oense,EMERSON CORDEIRO VASCONCELOS,204.329,11299,45.56,97,0.528,12.27,29218,26962,6584.87,
Pombos,2611309,pomboense,MANOEL MARCOS ALVES FERREIRA,239.876,27033,118.35,95,0.598,7.69,57179,57045,11596.41,
Primavera,2611408,primaverense,DAYSE JULIANA DOS SANTOS,113.112,14831,121.97,96.7,0.580,10,32800,31447,9566.63,
Quipapá,2611507,quipapaense,CRISTIANO LIRA MARTINS,230.617,25896,104.88,97.2,0.552,20.23,58126,58431,6669.78,
